                         CADASTRO DE PRODUTOS DA POF 2008-2009;;;;;;;;
;;;;;;;;
( CÓDIGO = 3 DÍGITOS + 2 DÍGITOS REFERENTE AO SEQUENCIAL DO CÓDIGO );;;;;;;;
(GRUPO = 2 DÍGITOS APENAS PARA CÓDIGOS DA CADERNETA DE DESPESA COLETIVA - POF3) ;;;;;;;;
;;;;;;;;
;;;;;;;;
QUADRO;GRUPO;Quadro_2dig_txt;CÓDIGO;codigo_txt;Complete_item_code;PRODUTO;;
08;08;08;04503;04503;X0804503;PLASTICO (MATERIAL PARA COBERTURA);;
08;08;08;04504;04504;X0804504;TOLDO DE LONA;;
08;08;08;04601;04601;X0804601;DUREPOX;;
08;08;08;04602;04602;X0804602;EPOX (COLA);;
08;08;08;04701;04701;X0804701;CUBA PARA PIA (QUALQUER MATERIAL);;
08;08;08;04702;04702;X0804702;PIA (CUBA) DE QUALQUER MATERIAL;;
08;08;08;04801;04801;X0804801;CALHA;;
08;08;08;04901;04901;X0804901;ESQUADRIA;;
08;08;08;05001;05001;X0805001;FORMICA (FOLHA);;
08;08;08;05002;05002;X0805002;FOLHA DE FORMICA;;
08;08;08;05101;05101;X0805101;POSTE;;
08;08;08;05102;05102;X0805102;POSTE DE MADEIRA;;
08;08;08;05103;05103;X0805103;POSTE DE METAL;;
08;08;08;05104;05104;X0805104;POSTE DE CIMENTO;;
08;08;08;05201;05201;X0805201;CUPINICIDA;;
08;08;08;05202;05202;X0805202;VENENO CONTRA CUPIM (CUPINICIDA);;
08;08;08;05301;05301;X0805301;PRODUTOS PARA PISCINA;;
08;08;08;05302;05302;X0805302;CLORO PARA PISCINA;;
08;08;08;05303;05303;X0805303;SULFATO DE ALUMINIO PARA PISCINA;;
08;08;08;05401;05401;X0805401;CARPETE;;
08;08;08;05501;05501;X0805501;ESCADA CARACOL;;
08;08;08;05601;05601;X0805601;IMPERMEABILIZANTE;;
08;08;08;05602;05602;X0805602;MASSA DE VEDACAO DE TELHA;;
08;08;08;05701;05701;X0805701;PALHA PARA COBERTURA;;
08;08;08;05702;05702;X0805702;SAPE PARA COBERTURA;;
08;08;08;05801;05801;X0805801;BOIA DE CAIXA DE AGUA;;
08;08;08;05901;05901;X0805901;MASSA DE FIXACAO E VEDACAO DE VIDRO;;
08;08;08;06001;06001;X0806001;FORRO PARA COBERTURA;;
08;08;08;06002;06002;X0806002;FORRO DE GESSO;;
08;08;08;06003;06003;X0806003;FORRO DE MADEIRA;;
08;08;08;06004;06004;X0806004;FORRO DE PVC;;
08;08;08;06005;06005;X0806005;FORRO PARA COBERTURA INDETERMINADO;;
08;08;08;06101;06101;X0806101;BANDEIRA DE JANELA;;
08;08;08;06201;06201;X0806201;CONCRETO USINADO;;
08;08;08;06301;06301;X0806301;LIXEIRA METALICA;;
08;08;08;06401;06401;X0806401;TETO SOLAR;;
